Id;LotFrontage;LotArea;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;GarageArea;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;SalePrice
294;NA;16659;34;795;0;0;795;1468;795;0;2263;539;0;250;0;0;0;0;0;235000
295;80;9600;238;1285;0;131;1416;1644;0;0;1644;418;110;0;0;0;0;0;0;167000
296;37;7937;0;819;0;184;1003;1003;0;0;1003;588;120;0;0;0;0;0;0;142500
297;75;13710;0;420;0;490;910;910;648;0;1558;282;289;0;0;0;0;0;0;152000
298;66;7399;1600;649;0;326;975;975;975;0;1950;576;0;10;0;0;198;0;0;239000
299;90;11700;365;384;175;143;702;1041;702;0;1743;539;224;0;0;0;0;0;0;175000
300;80;14000;0;0;0;1092;1092;1152;0;0;1152;300;0;36;0;0;0;0;0;158500
301;90;15750;56;841;0;324;1165;1336;0;0;1336;375;0;0;0;0;0;0;0;157000
302;66;16226;0;281;0;747;1028;1210;1242;0;2452;683;208;50;0;0;0;0;0;267000
303;118;13704;150;0;0;1541;1541;1541;0;0;1541;843;468;81;0;0;0;0;0;205000
304;70;9800;0;894;0;0;894;894;0;0;894;552;256;0;0;0;0;0;0;149900
305;87;18386;0;0;0;1470;1470;1675;1818;0;3493;870;302;0;0;0;0;0;0;295000
306;80;10386;246;1464;0;536;2000;2000;0;0;2000;888;168;0;0;0;0;0;0;305900
307;116;13474;246;700;0;0;700;1122;1121;0;2243;746;127;44;224;0;0;0;0;225000
308;NA;7920;0;0;0;319;319;1035;371;0;1406;0;0;144;0;0;0;0;0;89500
309;NA;12342;0;262;0;599;861;861;0;0;861;539;158;0;0;0;0;0;0;82500
310;90;12378;0;1274;0;622;1896;1944;0;0;1944;708;208;175;0;0;0;0;0;360000
311;NA;7685;112;518;0;179;697;697;804;0;1501;420;190;63;0;0;0;0;0;165600
312;50;8000;0;680;0;292;972;972;0;0;972;240;0;0;0;0;0;0;0;132000
313;65;7800;0;507;0;286;793;793;325;0;1118;410;0;0;0;0;271;0;0;119900
314;150;215245;0;1236;820;80;2136;2036;0;0;2036;513;0;0;0;0;0;0;0;375000
315;60;9600;0;16;0;712;728;832;809;0;1641;546;0;0;234;0;0;0;0;178000
316;71;7795;0;425;0;291;716;716;716;0;1432;432;100;51;0;0;0;0;0;188500
317;94;13005;278;692;0;153;845;1153;1200;0;2353;484;288;195;0;0;0;0;0;260000
318;75;9000;0;0;0;1088;1088;1088;871;0;1959;1025;208;46;0;0;0;0;0;270000
319;90;9900;256;987;0;360;1347;1372;1274;0;2646;656;340;60;144;0;0;0;0;260000
320;NA;14115;225;1036;0;336;1372;1472;0;0;1472;588;233;48;0;0;0;0;0;187500
321;111;16259;370;0;0;1249;1249;1249;1347;0;2596;840;240;154;0;0;0;0;0;342643
322;99;12099;388;970;0;166;1136;1136;1332;0;2468;872;184;154;0;0;0;0;0;354000
323;86;10380;172;28;1474;0;1502;1553;1177;0;2730;576;201;96;0;0;0;0;0;301000
324;49;5820;0;256;0;906;1162;1163;0;0;1163;220;142;98;0;0;0;0;0;126175
325;96;11275;300;0;0;710;710;1898;1080;0;2978;564;240;0;0;0;0;0;0;242000
326;50;5000;0;116;0;604;720;803;0;0;803;360;0;0;244;0;0;0;0;87000
327;32;10846;0;1619;0;100;1719;1719;0;0;1719;473;122;30;0;0;0;0;0;324000
328;80;11600;175;565;0;818;1383;1383;0;0;1383;292;0;45;0;0;0;0;0;145250
329;NA;11888;0;0;0;844;844;1445;689;0;2134;441;0;60;268;0;0;0;0;214500
330;60;6402;0;0;0;596;596;596;596;0;1192;189;0;0;137;0;0;0;0;78000
331;NA;10624;84;40;264;1424;1728;1728;0;0;1728;352;155;0;0;0;0;0;0;119000
332;70;8176;0;846;0;210;1056;1056;0;0;1056;308;0;0;0;0;0;0;0;139000
333;85;10655;296;1124;479;1603;3206;1629;0;0;1629;880;0;0;0;0;0;0;0;284000
334;59;8198;146;720;0;638;1358;1358;0;0;1358;484;192;30;0;0;0;0;0;207000
335;59;9042;0;828;0;115;943;943;695;0;1638;472;100;38;0;0;0;0;0;192000
336;NA;164660;0;1249;147;103;1499;1619;167;0;1786;529;670;0;0;0;0;0;700;228950
337;86;14157;200;1249;0;673;1922;1922;0;0;1922;676;178;51;0;0;0;0;0;377426
338;70;9135;113;810;0;726;1536;1536;0;0;1536;532;192;74;0;0;0;0;0;214000
339;91;14145;0;213;0;995;1208;1621;0;0;1621;440;108;45;0;0;0;0;400;202500
340;66;12400;176;585;0;630;1215;1215;0;0;1215;297;0;0;0;0;234;0;0;155000
341;85;14191;0;0;0;967;967;993;915;0;1908;431;135;0;0;0;0;0;0;202900
342;60;8400;0;0;0;721;721;841;0;0;841;294;250;0;24;0;0;0;0;82000
343;NA;8544;340;0;0;0;0;1040;0;0;1040;400;0;0;0;0;0;0;0;87500
344;63;8849;616;28;0;1656;1684;1684;0;0;1684;564;495;72;0;0;0;0;0;266000
345;36;2592;0;129;232;175;536;536;576;0;1112;336;182;0;0;0;0;0;0;85000
346;65;6435;0;0;0;972;972;972;605;0;1577;312;0;0;0;0;0;0;0;140200
347;NA;12772;0;498;0;460;958;958;0;0;958;301;0;0;0;0;0;0;15500;151500
348;NA;17600;30;1270;0;208;1478;1478;0;0;1478;498;0;40;0;0;0;0;0;157500
349;36;2448;106;573;0;191;764;764;862;0;1626;474;0;27;0;0;0;0;0;154000
350;56;20431;870;1410;0;438;1848;1848;880;0;2728;706;0;0;0;0;0;0;0;437154
351;68;7820;362;0;0;1869;1869;1869;0;0;1869;617;210;54;0;0;0;0;0;318061
352;NA;5271;0;1082;0;371;1453;1453;0;0;1453;445;0;80;0;0;184;0;0;190000
353;60;9084;0;236;380;0;616;616;495;0;1111;200;48;0;0;0;0;0;0;95000
354;60;8520;0;0;0;624;624;720;0;0;720;484;106;0;0;0;0;0;0;105900
355;60;8400;0;388;0;552;940;1192;403;0;1595;240;0;0;108;0;0;0;0;140000
356;105;11249;0;334;544;322;1200;1200;0;0;1200;521;0;26;0;0;0;0;0;177500
357;NA;9248;106;560;0;598;1158;1167;0;0;1167;400;120;26;0;0;0;0;0;173000
358;44;4224;0;874;0;268;1142;1142;0;0;1142;528;536;90;0;0;0;0;0;134000
359;92;6930;120;300;294;468;1062;1352;0;0;1352;288;168;0;294;0;0;0;0;130000
360;78;12011;530;956;0;130;1086;1086;838;0;1924;592;208;75;0;0;374;0;0;280000
361;NA;7540;0;773;0;115;888;912;0;0;912;470;0;0;0;0;192;0;0;156000
362;NA;9144;0;399;0;484;883;988;517;0;1505;240;0;0;0;0;0;0;0;145000
363;64;7301;500;0;0;0;0;495;1427;0;1922;672;0;0;177;0;0;0;0;198500
364;21;1680;510;162;0;321;483;483;504;0;987;264;250;0;0;0;0;0;0;118000
365;NA;18800;120;712;0;84;796;790;784;0;1574;566;306;111;0;0;0;0;0;190000
366;59;10690;0;456;0;216;672;672;672;0;1344;468;0;128;218;0;0;0;0;147000
367;NA;9500;247;609;0;785;1394;1394;0;0;1394;514;0;76;0;0;185;0;0;159000
368;101;9150;305;371;0;728;1099;1431;0;0;1431;296;64;110;0;0;0;0;0;165000
369;78;7800;200;540;0;728;1268;1268;0;0;1268;244;0;98;0;0;0;0;0;132000
370;NA;9830;0;72;258;733;1063;1287;0;0;1287;576;364;17;0;0;182;0;0;162000
371;NA;8121;0;0;0;953;953;953;711;0;1664;460;100;40;0;0;0;0;0;172400
372;80;17120;0;0;0;0;0;1120;468;0;1588;680;0;59;0;0;0;0;0;134432
373;50;7175;0;623;121;0;744;752;0;0;752;264;353;0;0;0;90;0;0;125000
374;79;10634;0;428;180;0;608;1319;0;0;1319;270;66;0;0;0;0;0;0;123000
375;65;8200;0;0;0;847;847;847;1081;0;1928;434;100;48;0;0;0;0;0;219500
376;NA;10020;0;350;0;333;683;904;0;0;904;0;0;0;0;0;0;0;0;61000
377;57;8846;0;298;0;572;870;914;0;0;914;576;0;0;0;0;0;0;0;148000
378;102;11143;0;0;0;1580;1580;1580;886;0;2466;610;159;214;0;0;0;0;0;340000
379;88;11394;350;1445;0;411;1856;1856;0;0;1856;834;113;0;0;0;0;0;0;394432
380;60;8123;16;0;0;982;982;1007;793;0;1800;463;100;63;0;0;0;0;0;179000
381;50;5000;0;218;0;808;1026;1026;665;0;1691;308;0;0;242;0;0;0;0;127000
382;60;7200;0;0;0;1293;1293;1301;0;0;1301;572;216;121;0;0;0;0;0;187750
383;79;9245;0;0;0;939;939;939;858;0;1797;639;144;53;0;0;0;0;0;213500
384;60;9000;0;0;0;784;784;784;0;0;784;360;0;0;91;0;0;0;0;76000
385;NA;53107;0;985;0;595;1580;1079;874;0;1953;501;216;231;0;0;0;0;0;240000
386;43;3182;16;24;0;1232;1256;1269;0;0;1269;430;146;20;0;0;144;0;0;192000
387;58;8410;0;0;0;658;658;658;526;0;1184;0;0;151;0;0;0;0;0;81000
388;72;7200;255;631;0;410;1041;1125;0;0;1125;352;296;0;0;0;0;0;0;125000
389;93;9382;125;0;0;1468;1468;1479;0;0;1479;577;120;25;0;0;0;0;0;191000
390;96;12474;272;1280;0;402;1682;1742;590;0;2332;846;196;134;0;0;0;0;0;426000
391;50;8405;0;241;391;229;861;961;406;0;1367;384;0;130;112;0;0;0;0;119000
392;71;12209;0;690;0;114;804;804;1157;0;1961;560;125;192;0;0;0;0;0;215000
393;NA;8339;0;0;0;0;0;882;0;0;882;294;0;0;0;0;0;0;1200;106500
394;NA;7446;0;266;0;522;788;788;0;0;788;0;0;0;0;0;0;0;0;100000
395;60;10134;0;0;0;735;735;735;299;0;1034;240;0;39;0;0;0;0;0;109000
396;68;9571;0;739;0;405;1144;1144;0;0;1144;596;44;0;0;0;0;0;0;129000
397;60;7200;0;777;0;117;894;894;0;0;894;600;215;0;0;0;0;0;0;123000
398;69;7590;288;540;0;324;864;876;936;0;1812;264;0;168;0;0;0;0;0;169500
399;60;8967;0;0;0;961;961;1077;0;0;1077;338;0;0;0;0;0;0;0;67000
400;65;8125;100;812;0;280;1092;1112;438;0;1550;438;0;168;0;0;0;0;0;241000
401;38;14963;0;786;0;474;1260;1288;0;0;1288;500;120;30;0;0;224;0;0;245500
402;65;8767;0;24;0;1286;1310;1310;0;0;1310;400;0;0;0;0;0;0;0;164990
403;60;10200;0;0;0;672;672;672;0;0;672;240;168;0;0;0;0;0;0;108000
404;93;12090;650;0;0;1141;1141;1165;1098;0;2263;420;144;123;0;0;0;0;0;258000
405;NA;10364;0;0;0;806;806;806;766;0;1572;373;0;40;0;0;0;0;0;168000
406;NA;9991;0;1116;0;165;1281;1620;0;0;1620;490;120;78;0;0;0;0;0;150000
407;51;10480;0;0;0;1064;1064;1166;0;473;1639;240;0;0;0;0;0;0;0;115000
408;63;15576;0;0;0;840;840;840;840;0;1680;308;0;0;160;0;0;0;0;177000
409;109;14154;350;0;0;1063;1063;1071;1101;0;2172;947;192;62;0;0;0;0;0;280000
410;85;10800;100;789;0;245;1034;1050;1028;0;2078;836;0;102;0;0;0;0;0;339750
411;68;9571;0;0;0;1276;1276;1276;0;0;1276;350;0;0;0;0;0;0;0;60000
412;100;34650;0;1056;0;0;1056;1056;0;0;1056;572;264;0;0;0;0;0;0;145000
413;NA;4403;432;578;0;892;1470;1478;0;0;1478;484;0;144;0;0;0;0;0;222000
414;56;8960;0;0;0;1008;1008;1028;0;0;1028;360;0;0;130;0;0;0;0;115000
415;59;11228;0;50;531;499;1080;1080;1017;0;2097;678;196;187;0;0;0;0;0;228000
416;73;8899;0;24;0;1316;1340;1340;0;0;1340;396;100;30;0;0;0;0;0;181134
417;74;7844;203;209;0;463;672;672;728;0;1400;440;0;0;0;0;0;0;0;149500
418;86;22420;0;1128;0;242;1370;1370;1254;0;2624;864;0;0;0;0;0;0;0;239000
419;60;8160;0;312;0;444;756;756;378;0;1134;240;0;0;0;0;0;0;0;126000
420;65;8450;0;775;0;281;1056;1056;0;0;1056;304;0;85;184;0;0;0;0;142000
421;78;7060;200;1309;0;35;1344;1344;0;0;1344;784;0;0;0;0;0;0;0;206300
422;NA;16635;126;1246;0;356;1602;1602;0;0;1602;529;240;0;0;0;0;0;0;215000
423;100;21750;0;0;0;988;988;988;0;0;988;520;0;0;0;0;0;0;0;113000
424;80;9200;473;986;0;484;1470;1470;1160;0;2630;696;0;66;0;0;0;0;0;315000
425;72;9000;74;616;0;580;1196;1196;0;0;1196;297;0;44;0;0;0;0;0;139000
426;60;3378;0;0;0;651;651;707;682;0;1389;240;0;0;126;0;0;0;0;135000
427;NA;12800;145;1518;0;0;1518;1644;0;0;1644;569;80;0;0;0;396;0;0;275000
428;77;8593;0;288;0;619;907;907;0;0;907;352;0;0;0;0;0;0;0;109008
429;64;6762;108;664;0;544;1208;1208;0;0;1208;628;105;54;0;0;0;0;0;195400
430;130;11457;0;1005;0;387;1392;1412;0;0;1412;576;0;0;169;0;0;0;0;175000
431;21;1680;232;387;0;96;483;483;504;0;987;264;0;0;0;0;0;0;0;85400
432;60;5586;0;0;0;901;901;1088;110;0;1198;0;0;98;0;0;0;0;0;79900
433;24;1920;376;471;0;294;765;765;600;0;1365;440;240;36;0;0;0;0;0;122500
434;100;10839;0;0;0;926;926;926;678;0;1604;470;0;36;0;0;0;0;0;181000
435;21;1890;0;495;0;135;630;630;0;0;630;0;88;0;0;0;0;0;0;81000
436;43;10667;0;385;344;70;799;827;834;0;1661;550;158;61;0;0;0;0;0;212000
437;40;4400;0;0;0;648;648;734;384;0;1118;440;0;0;0;0;0;0;0;116000
438;50;6000;0;0;0;884;884;904;0;0;904;180;0;0;105;0;0;0;0;119000
439;40;4280;0;365;0;75;440;694;0;0;694;352;0;0;34;0;0;0;0;90350
440;67;12354;0;0;0;684;684;684;512;0;1196;528;0;46;0;0;0;0;800;110000
441;105;15431;200;1767;539;788;3094;2402;0;0;2402;672;0;72;0;0;170;0;0;555000
442;92;12108;270;133;0;1307;1440;1440;0;0;1440;0;0;0;0;0;0;0;0;118000
443;52;6240;0;0;0;1078;1078;1128;445;0;1573;360;0;0;0;0;0;0;0;162900
444;53;3922;72;0;0;1258;1258;1258;0;0;1258;648;144;16;0;0;0;0;0;172500
445;70;8750;0;642;0;273;915;933;975;0;1908;493;144;133;0;0;0;0;0;210000
446;73;9855;0;0;0;1436;1436;1689;0;0;1689;480;0;0;0;0;0;0;0;127500
447;137;16492;0;247;713;557;1517;1888;0;0;1888;578;0;0;0;0;0;0;0;190000
448;NA;11214;0;0;0;930;930;956;930;0;1886;431;89;0;0;0;0;0;0;199900
449;50;8600;0;0;0;780;780;780;596;0;1376;198;0;0;0;0;0;0;0;119500
450;50;6000;0;331;0;318;649;679;504;0;1183;308;0;176;0;0;0;0;0;120000
451;70;5684;0;0;0;813;813;813;0;0;813;270;0;113;0;0;0;0;0;110000
452;62;70761;0;655;0;878;1533;1533;0;0;1533;576;200;54;0;0;0;0;0;280000
453;NA;9303;42;742;0;130;872;888;868;0;1756;422;144;122;0;0;0;0;0;204000
454;75;9000;0;0;0;768;768;786;804;0;1590;676;0;30;0;0;0;0;0;210000
455;63;9297;0;1606;0;122;1728;1728;0;0;1728;560;0;0;0;0;0;0;0;188000
456;80;9600;320;916;0;326;1242;1242;0;0;1242;528;0;0;0;0;0;0;0;175500
457;34;4571;0;0;0;624;624;624;720;0;1344;513;0;0;96;0;0;0;0;98000
458;NA;53227;0;1116;0;248;1364;1663;0;0;1663;529;224;137;0;0;0;0;0;256000
459;NA;5100;0;0;0;588;588;833;833;0;1666;228;192;63;0;0;0;0;0;161000
460;NA;7015;161;185;0;524;709;979;224;0;1203;352;0;0;248;0;0;0;0;110000
461;75;8004;110;544;0;288;832;832;1103;0;1935;552;0;150;0;0;0;0;0;263435
462;60;7200;0;350;210;0;560;575;560;0;1135;576;256;0;0;0;0;0;0;155000
463;60;8281;0;553;311;0;864;864;0;0;864;360;0;0;236;0;0;0;0;62383
464;74;11988;0;326;0;389;715;849;811;0;1660;240;0;0;0;0;0;0;0;188700
465;60;8430;136;616;0;424;1040;1040;0;0;1040;0;0;0;0;0;0;0;0;124000
466;NA;3072;18;0;0;1375;1375;1414;0;0;1414;398;144;20;0;0;0;0;0;178740
467;85;10628;0;778;0;499;1277;1277;0;0;1277;526;0;0;0;0;176;0;0;167000
468;79;9480;224;386;0;342;728;888;756;0;1644;312;168;0;0;0;0;0;0;146500
469;98;11428;248;0;0;1626;1626;1634;0;0;1634;866;0;44;0;0;0;0;0;250000
470;76;9291;120;426;0;406;832;832;878;0;1710;506;144;70;0;0;0;0;0;187000
471;NA;6820;0;368;1120;0;1488;1502;0;0;1502;528;0;54;0;0;140;0;0;212000
472;92;11952;0;0;0;808;808;1161;808;0;1969;534;0;0;0;0;276;0;0;190000
473;35;3675;80;459;0;88;547;1072;0;0;1072;525;0;28;0;0;0;0;0;148000
474;110;14977;304;1350;0;626;1976;1976;0;0;1976;908;250;63;0;0;0;0;0;440000
475;41;5330;0;1196;0;298;1494;1652;0;0;1652;499;96;48;0;0;0;0;0;251000
476;80;8480;0;630;0;340;970;970;0;0;970;624;0;24;0;0;192;0;0;132500
477;75;13125;215;994;0;484;1478;1493;0;0;1493;508;140;39;0;0;0;0;0;208900
478;105;13693;772;0;0;2153;2153;2069;574;0;2643;694;414;84;0;0;0;0;0;380000
479;79;10637;336;1288;0;417;1705;1718;0;0;1718;826;208;44;0;0;0;0;0;297000
480;50;5925;435;168;0;739;907;1131;0;0;1131;672;0;72;0;0;0;0;0;89471
481;98;16033;378;1261;0;572;1833;1850;0;0;1850;772;519;112;0;0;0;0;0;326000
482;72;11846;562;1567;0;225;1792;1792;0;0;1792;874;206;49;0;0;0;0;0;374000
483;50;2500;0;299;0;611;910;916;910;0;1826;164;0;0;0;0;0;0;0;155000
484;32;4500;116;897;0;319;1216;1216;0;0;1216;402;0;125;0;0;0;0;0;164000
485;NA;7758;0;588;0;411;999;999;0;0;999;264;0;132;0;0;0;0;0;132500
486;80;9600;0;607;0;506;1113;1113;0;0;1113;264;0;80;120;0;0;0;0;147000
487;79;10289;168;836;0;237;1073;1073;0;0;1073;515;0;0;0;0;0;0;0;156000
488;70;12243;0;998;0;486;1484;1484;0;0;1484;487;224;0;0;0;180;0;0;175000
489;60;10800;0;664;0;290;954;1766;648;0;2414;520;142;0;0;0;0;0;0;160000
490;21;1526;0;515;0;115;630;630;0;0;630;286;0;0;0;0;0;0;0;86000
491;NA;2665;0;0;0;264;264;616;688;0;1304;336;141;24;0;0;0;0;0;115000
492;79;9490;0;403;165;238;806;958;620;0;1578;240;0;0;32;0;0;0;0;133000
493;105;15578;0;0;0;728;728;728;728;0;1456;429;0;0;0;0;0;0;0;172785
494;70;7931;0;374;532;363;1269;1269;0;0;1269;308;0;0;0;0;0;0;0;155000
495;50;5784;0;0;0;190;190;886;0;0;886;273;144;20;80;0;0;0;0;91300
496;60;7879;0;495;0;225;720;720;0;0;720;0;0;523;115;0;0;0;0;34900
497;NA;12692;0;1231;0;1969;3200;3228;0;0;3228;546;264;75;291;0;0;0;0;430000
498;60;9120;0;329;0;697;1026;1133;687;0;1820;240;0;100;0;0;0;0;0;184000
499;65;7800;89;450;0;414;864;899;0;0;899;288;64;0;0;0;0;0;0;130000
500;70;7535;0;111;279;522;912;912;0;0;912;297;12;285;0;0;0;0;480;120000
501;21;1890;285;356;0;316;672;672;546;0;1218;264;144;28;0;0;0;0;0;113000
502;75;9803;0;400;0;466;866;866;902;0;1768;603;0;108;0;0;0;0;0;226700
503;70;9170;0;698;96;420;1214;1214;0;0;1214;461;0;0;184;0;0;0;400;140000
504;100;15602;0;1247;0;254;1501;1801;0;0;1801;484;0;54;0;0;161;0;0;289000
505;24;2308;0;257;495;103;855;855;467;0;1322;440;260;0;0;0;0;0;0;147000
506;60;7596;360;0;0;960;960;960;1000;0;1960;400;0;0;0;0;0;0;0;124500
507;80;9554;125;380;0;397;777;1065;846;0;1911;471;182;81;0;0;0;0;0;215000
508;75;7862;0;27;0;1191;1218;1218;0;0;1218;676;0;102;0;0;0;0;0;208300
509;60;9600;0;141;0;548;689;689;689;0;1378;360;0;0;116;0;0;0;0;161000
510;80;9600;132;991;0;50;1041;1041;0;0;1041;270;224;88;0;0;0;0;0;124500
511;75;14559;70;650;180;178;1008;1363;0;0;1363;288;324;42;0;0;168;0;2000;164900
512;40;6792;94;0;0;1368;1368;1368;0;0;1368;474;132;35;0;0;0;0;0;202665
513;70;9100;0;521;174;169;864;864;0;0;864;624;0;0;0;0;0;0;0;129900
514;71;9187;0;336;0;748;1084;1080;0;0;1080;484;120;0;158;0;0;0;0;134000
515;55;10594;0;0;0;768;768;789;0;0;789;200;0;0;112;0;0;0;0;96500
516;94;12220;305;1436;0;570;2006;2020;0;0;2020;900;156;54;0;0;0;0;0;402861
517;NA;10448;333;0;0;689;689;1378;741;0;2119;583;0;104;0;0;0;0;0;158000
518;79;10208;921;0;0;1264;1264;1277;1067;0;2344;889;220;0;0;0;0;0;0;265000
519;NA;9531;0;706;0;88;794;882;914;0;1796;546;0;36;0;0;0;0;0;211000
520;53;10918;0;0;0;1276;1276;1276;804;0;2080;282;0;0;0;0;145;0;0;234000
521;60;10800;0;0;0;0;0;694;600;0;1294;0;220;114;210;0;0;0;0;106250
522;90;11988;0;777;0;467;1244;1244;0;0;1244;336;0;40;0;0;0;0;0;150000
523;50;5000;0;399;0;605;1004;1004;660;0;1664;420;0;24;36;0;0;0;0;159000
524;130;40094;762;2260;0;878;3138;3138;1538;0;4676;884;208;406;0;0;0;0;0;184750
525;95;11787;594;719;0;660;1379;1383;1015;0;2398;834;239;60;0;0;0;0;0;315750
526;62;7500;0;0;0;1257;1257;1266;0;0;1266;453;38;144;0;0;0;0;0;176000
527;70;13300;0;377;0;551;928;928;0;0;928;252;261;0;156;0;0;0;0;132000
528;67;14948;268;1330;0;122;1452;1476;1237;0;2713;858;126;66;0;0;0;0;0;446261
529;58;9098;0;348;0;180;528;605;0;0;605;0;0;0;144;0;0;0;0;86000
530;NA;32668;NA;1219;0;816;2035;2515;0;0;2515;484;0;0;200;0;0;0;0;200624
531;85;10200;219;783;0;678;1461;1509;0;0;1509;600;224;0;0;0;0;0;0;175000
532;60;6155;0;0;0;611;611;751;611;0;1362;502;0;0;84;0;0;0;0;128000
533;60;7200;0;0;0;0;0;827;0;0;827;392;0;0;0;0;0;0;0;107500
534;50;5000;0;0;0;0;0;334;0;0;334;0;0;0;0;0;0;0;0;39300
535;74;9056;0;0;0;707;707;707;707;0;1414;403;100;35;0;0;0;0;0;178000
536;70;7000;0;969;0;148;1117;820;527;0;1347;0;85;0;148;0;0;0;0;107500
537;57;8924;0;0;0;880;880;880;844;0;1724;527;120;155;0;0;0;0;0;188000
538;NA;12735;0;600;0;264;864;864;0;0;864;576;216;0;0;0;0;0;0;111250
539;NA;11553;188;673;0;378;1051;1159;0;0;1159;336;466;0;0;0;0;0;0;158000
540;NA;11423;479;1358;0;223;1581;1601;0;0;1601;670;180;0;0;0;0;0;2000;272000
541;85;14601;584;1260;0;578;1838;1838;0;0;1838;765;270;68;0;0;0;0;0;315000
542;NA;11000;72;0;0;969;969;997;1288;0;2285;648;0;56;0;0;0;0;0;248000
543;78;10140;0;144;1127;379;1650;1680;0;0;1680;583;78;73;0;0;0;0;0;213250
544;34;4058;182;584;139;0;723;767;0;0;767;367;120;40;0;0;0;0;0;133000
545;58;17104;0;554;0;100;654;664;832;0;1496;426;100;24;0;0;0;0;0;179665
546;NA;13837;178;1002;202;0;1204;1377;806;0;2183;786;0;0;0;0;0;0;0;229000
547;70;8737;0;300;0;765;1065;915;720;0;1635;440;0;38;0;144;0;0;0;210000
548;54;7244;0;619;0;149;768;768;0;0;768;624;104;0;0;0;0;0;0;129500
549;49;8235;0;180;645;0;825;825;0;0;825;720;140;50;0;0;0;0;0;125000
550;75;9375;0;0;0;912;912;912;1182;0;2094;615;182;182;0;0;0;0;0;263000
551;53;4043;0;559;0;510;1069;1069;0;0;1069;440;0;55;0;0;200;0;0;140000
552;50;6000;0;308;0;620;928;928;0;0;928;288;0;0;0;0;0;0;0;112500
553;87;11146;250;0;0;1709;1709;1717;0;0;1717;908;169;39;0;0;0;0;0;255500
554;67;8777;0;0;0;0;0;1126;0;0;1126;520;0;96;0;0;0;0;0;108000
555;85;10625;292;866;0;132;998;1006;1040;0;2046;871;320;62;0;0;0;0;0;284000
556;58;6380;0;0;0;993;993;1048;0;0;1048;280;0;0;116;0;0;0;0;113000
557;69;14850;0;895;0;197;1092;1092;0;0;1092;299;268;0;0;0;122;0;0;141000
558;60;11040;0;637;0;0;637;897;439;0;1336;570;0;47;120;0;0;0;0;108000
559;57;21872;0;604;0;125;729;729;717;0;1446;406;264;22;0;0;0;0;0;175000
560;NA;3196;18;0;0;1374;1374;1557;0;0;1557;420;143;20;0;0;0;0;0;234000
561;NA;11341;180;1302;0;90;1392;1392;0;0;1392;528;0;0;0;0;95;0;0;121500
562;77;10010;0;1071;123;195;1389;1389;0;0;1389;418;240;38;0;0;0;0;0;170000
563;63;13907;0;290;0;706;996;996;0;0;996;0;144;0;0;0;0;0;0;108000
564;66;21780;0;0;0;1163;1163;1163;511;0;1674;396;72;36;0;0;144;0;0;185000
565;NA;13346;0;728;0;367;1095;1166;1129;0;2295;590;0;40;0;0;0;0;0;268000
566;66;6858;0;0;0;806;806;841;806;0;1647;216;0;66;136;0;0;0;0;128000
567;77;11198;245;0;0;1122;1122;1134;1370;0;2504;656;144;39;0;0;0;0;0;325000
568;70;10171;168;2;0;1515;1517;1535;0;0;1535;532;0;0;0;0;0;0;0;214000
569;79;12327;0;1441;0;55;1496;1496;636;0;2132;612;349;40;0;0;0;0;0;316600
570;NA;7032;0;943;0;0;943;943;0;0;943;600;42;0;0;0;0;0;0;135960
571;74;13101;108;231;0;1497;1728;1728;0;0;1728;576;0;0;0;0;0;0;0;142600
572;60;7332;207;414;0;450;864;864;0;0;864;288;168;0;0;0;0;0;0;120000
573;83;13159;0;0;0;846;846;846;846;0;1692;650;208;114;0;0;0;0;0;224500
574;76;9967;0;0;0;384;384;774;656;0;1430;400;100;0;0;0;0;0;0;170000
575;70;10500;82;349;0;23;372;576;533;0;1109;288;35;0;0;0;0;0;0;139000
576;80;8480;0;442;0;390;832;832;384;0;1216;336;158;0;102;0;0;0;0;118500
577;52;6292;0;0;0;861;861;877;600;0;1477;216;0;50;0;0;0;0;0;145000
578;96;11777;97;328;551;285;1164;1320;0;0;1320;564;160;68;240;0;0;0;0;164500
579;34;3604;0;0;0;689;689;703;689;0;1392;540;0;102;0;0;0;0;0;146000
580;81;12150;335;0;0;1050;1050;1050;745;0;1795;352;0;0;0;0;0;0;0;131500
581;NA;14585;85;594;219;331;1144;1429;0;0;1429;572;216;110;0;0;0;0;0;181900
582;98;12704;306;0;0;2042;2042;2042;0;0;2042;1390;0;90;0;0;0;0;0;253293
583;81;11841;104;816;0;0;816;816;0;0;816;0;0;32;0;0;0;0;0;118500
584;75;13500;0;0;0;1237;1237;1521;1254;0;2775;880;105;502;0;0;0;0;0;325000
585;51;6120;0;0;0;884;884;989;584;0;1573;240;0;0;54;0;120;0;0;133000
586;88;11443;208;1460;0;408;1868;2028;0;0;2028;880;326;66;0;0;0;0;0;369900
587;55;10267;0;210;606;0;816;838;0;0;838;275;0;0;112;0;0;0;0;130000
588;74;8740;0;672;0;168;840;860;0;0;860;528;0;0;0;0;0;0;0;137000
589;65;25095;0;1324;0;113;1437;1473;0;0;1473;452;0;48;0;0;60;0;0;143000
590;50;9100;0;0;0;742;742;779;0;156;935;308;0;0;0;0;0;0;600;79500
